농약명(한글),농약명(영어),식품명,잔류허용기준(mg/kg),max_residue_limit,condition_code
가스가마이신,Kasugamycin,가지,0.3,0.3,
가스가마이신,Kasugamycin,감귤,0.5,0.5,
가스가마이신,Kasugamycin,감자,0.05,0.05,
가스가마이신,Kasugamycin,갓,8,8,
가스가마이신,Kasugamycin,강황,0.7,0.7,
가스가마이신,Kasugamycin,건삼,0.05,0.05,
가스가마이신,Kasugamycin,고수(잎),2,2,
가스가마이신,Kasugamycin,고추,1.5,1.5,
가스가마이신,Kasugamycin,근대,8,8,
가스가마이신,Kasugamycin,냉이,8,8,
가스가마이신,Kasugamycin,당근,0.2,0.2,
가스가마이신,Kasugamycin,들깻잎,5,5,
가스가마이신,Kasugamycin,딸기,0.3,0.3,
가스가마이신,Kasugamycin,마,0.05,0.05,
가스가마이신,Kasugamycin,마(건조),0.05,0.05,
가스가마이신,Kasugamycin,마늘,0.05,0.05,
가스가마이신,Kasugamycin,머위,0.05,0.05,
가스가마이신,Kasugamycin,멜론,0.2,0.2,
가스가마이신,Kasugamycin,무(뿌리),0.05,0.05,
가스가마이신,Kasugamycin,무(잎),2,2,
가스가마이신,Kasugamycin,미나리,0.5,0.5,
가스가마이신,Kasugamycin,배추,0.1,0.1,
가스가마이신,Kasugamycin,부추,0.7,0.7,
가스가마이신,Kasugamycin,브로콜리,0.2,0.2,
가스가마이신,Kasugamycin,비트(뿌리),0.15,0.15,
가스가마이신,Kasugamycin,상추,10,10,
가스가마이신,Kasugamycin,생강,0.02,0.02,
가스가마이신,Kasugamycin,셀러리,0.5,0.5,
가스가마이신,Kasugamycin,수박,0.05,0.05,
가스가마이신,Kasugamycin,수삼,0.05,0.05,
가스가마이신,Kasugamycin,순무,0.02,0.02,
가스가마이신,Kasugamycin,시금치,3,3,
가스가마이신,Kasugamycin,쌀,0.07,0.07,
가스가마이신,Kasugamycin,쑥갓,8,8,
가스가마이신,Kasugamycin,아스파라거스,0.7,0.7,
가스가마이신,Kasugamycin,양배추,0.2,0.2,
가스가마이신,Kasugamycin,양상추,10,10,
가스가마이신,Kasugamycin,양파,0.05,0.05,
가스가마이신,Kasugamycin,엇갈이배추,0.3,0.3,
가스가마이신,Kasugamycin,엽경채류,0.7,0.7,
가스가마이신,Kasugamycin,엽채류,5,5,
가스가마이신,Kasugamycin,오이,0.2,0.2,
가스가마이신,Kasugamycin,옥수수,0.02,0.02,
가스가마이신,Kasugamycin,조,2,2,
가스가마이신,Kasugamycin,참외,0.3,0.3,
가스가마이신,Kasugamycin,청경채,8,8,
가스가마이신,Kasugamycin,체리,0.6†,0.6,†
가스가마이신,Kasugamycin,취나물,8,8,
가스가마이신,Kasugamycin,치커리,8,8,
가스가마이신,Kasugamycin,키위,0.05,0.05,
가스가마이신,Kasugamycin,토마토,0.5,0.5,
가스가마이신,Kasugamycin,파,0.3,0.3,
가스가마이신,Kasugamycin,풋마늘,0.1,0.1,
가스가마이신,Kasugamycin,피망,1.5,1.5,
가스가마이신,Kasugamycin,호박,0.5,0.5,
가스가마이신,Kasugamycin,호박잎,15,15,
글루포시네이트,Glufosinate(ammonium),감귤,0.1,0.1,
글루포시네이트,Glufosinate(ammonium),감귤류,0.05†,0.05,†
글루포시네이트,Glufosinate(ammonium),감자,0.8†,0.8,†
글루포시네이트,Glufosinate(ammonium),강황,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),건삼,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),견과류,0.1†,0.1,†
글루포시네이트,Glufosinate(ammonium),고구마,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),고구마줄기,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),고려엉겅퀴,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),고사리,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),고추,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),고춧잎,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),구기자,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),기장,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),녹두,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),눈개승마,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),당귀(잎),0.05,0.05,
글루포시네이트,Glufosinate(ammonium),당근,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),대두,2.0†,2,†
글루포시네이트,Glufosinate(ammonium),더덕,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),도라지,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),둥굴레(잎),0.05,0.05,
글루포시네이트,Glufosinate(ammonium),들깻잎,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),딸기,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),마,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),마늘,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),망고,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),메밀,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),면실,3.0†,3,†
글루포시네이트,Glufosinate(ammonium),무(뿌리),0.05,0.05,
글루포시네이트,Glufosinate(ammonium),무(잎),0.05,0.05,
글루포시네이트,Glufosinate(ammonium),무화과,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),밀,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),바나나,0.05†,0.05,†
글루포시네이트,Glufosinate(ammonium),방아잎,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),배추,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),보리,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),복분자,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),부추,0.05,0.05,
